"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Date","Unemployment Rate","Flag Codes"
"CAN","HUR","TOT","PC_LF","Q","2009-Q1","7.966667",
"CAN","HUR","TOT","PC_LF","Q","2009-Q2","8.6",
"CAN","HUR","TOT","PC_LF","Q","2009-Q3","8.7",
"CAN","HUR","TOT","PC_LF","Q","2009-Q4","8.566667",
"CAN","HUR","TOT","PC_LF","Q","2010-Q1","8.366667",
"CAN","HUR","TOT","PC_LF","Q","2010-Q2","8.1",
"CAN","HUR","TOT","PC_LF","Q","2010-Q3","8.2",
"CAN","HUR","TOT","PC_LF","Q","2010-Q4","7.9",
"CAN","HUR","TOT","PC_LF","Q","2011-Q1","7.8",
"CAN","HUR","TOT","PC_LF","Q","2011-Q2","7.733333",
"CAN","HUR","TOT","PC_LF","Q","2011-Q3","7.4",
"CAN","HUR","TOT","PC_LF","Q","2011-Q4","7.533333",
"CAN","HUR","TOT","PC_LF","Q","2012-Q1","7.533333",
"CAN","HUR","TOT","PC_LF","Q","2012-Q2","7.433333",
"CAN","HUR","TOT","PC_LF","Q","2012-Q3","7.366667",
"CAN","HUR","TOT","PC_LF","Q","2012-Q4","7.3",
"CAN","HUR","TOT","PC_LF","Q","2013-Q1","7.133333",
"CAN","HUR","TOT","PC_LF","Q","2013-Q2","7.133333",
"CAN","HUR","TOT","PC_LF","Q","2013-Q3","7.2",
"CAN","HUR","TOT","PC_LF","Q","2013-Q4","7.233333",
"CAN","HUR","TOT","PC_LF","Q","2014-Q1","7.166667",
"CAN","HUR","TOT","PC_LF","Q","2014-Q2","7.166667",
"CAN","HUR","TOT","PC_LF","Q","2014-Q3","7.033333",
"CAN","HUR","TOT","PC_LF","Q","2014-Q4","6.766667",
"CAN","HUR","TOT","PC_LF","Q","2015-Q1","6.833333",
"CAN","HUR","TOT","PC_LF","Q","2015-Q2","6.866667",
"CAN","HUR","TOT","PC_LF","Q","2015-Q3","7",
"CAN","HUR","TOT","PC_LF","Q","2015-Q4","7.1",
"CAN","HUR","TOT","PC_LF","Q","2016-Q1","7.266667",
"CAN","HUR","TOT","PC_LF","Q","2016-Q2","7.066667",
"CAN","HUR","TOT","PC_LF","Q","2016-Q3","6.933333",
"CAN","HUR","TOT","PC_LF","Q","2016-Q4","6.866667",
"CAN","HUR","TOT","PC_LF","Q","2017-Q1","6.7",
"CAN","HUR","TOT","PC_LF","Q","2017-Q2","6.533333",
"CAN","HUR","TOT","PC_LF","Q","2017-Q3","6.233333",
"CAN","HUR","TOT","PC_LF","Q","2017-Q4","6.166667",
"CAN","HUR","TOT","PC_LF","Q","2018-Q1","5.9",
"CAN","HUR","TOT","PC_LF","Q","2018-Q2","5.9",
"CAN","HUR","TOT","PC_LF","Q","2018-Q3","5.9",
"CAN","HUR","TOT","PC_LF","Q","2018-Q4","5.7",
"CAN","HUR","TOT","PC_LF","Q","2019-Q1","5.8",
"CAN","HUR","TOT","PC_LF","Q","2019-Q2","5.566667",
"CAN","HUR","TOT","PC_LF","Q","2019-Q3","5.733333",
"CAN","HUR","TOT","PC_LF","Q","2019-Q4","5.7",
"CAN","HUR","TOT","PC_LF","Q","2020-Q1","6.533333",
"CAN","HUR","TOT","PC_LF","Q","2020-Q2","13.36667",
"CAN","HUR","TOT","PC_LF","Q","2020-Q3","10.13333",
"CAN","HUR","TOT","PC_LF","Q","2020-Q4","8.866667",
"CAN","HUR","TOT","PC_LF","Q","2021-Q1","8.433333",
"CAN","HUR","TOT","PC_LF","Q","2021-Q2","8.066667",
"CAN","HUR","TOT","PC_LF","Q","2021-Q3","7.266667",
"CAN","HUR","TOT","PC_LF","Q","2021-Q4","6.266667",
"CAN","HUR","TOT","PC_LF","Q","2022-Q1","5.733333",
"CAN","HUR","TOT","PC_LF","Q","2022-Q2","5.133333",
"CAN","HUR","TOT","PC_LF","Q","2022-Q3","5.133333",
"CAN","HUR","TOT","PC_LF","Q","2022-Q4","5.1"
