DATE,IRSTCI01GBQ156N
2009-01-01,0.5224
2009-04-01,0.4158
2009-07-01,0.4302
2009-10-01,0.4492
2010-01-01,0.4713
2010-04-01,0.487
2010-07-01,0.501
2010-10-01,0.5173
2011-01-01,0.5154
2011-04-01,0.5311
2011-07-01,0.5486
2011-10-01,0.5201
2012-01-01,0.49
2012-04-01,0.4859
2012-07-01,0.4271
2012-10-01,0.4309
2013-01-01,0.4353
2013-04-01,0.4252
2013-07-01,0.4299
2013-10-01,0.4215
2014-01-01,0.4159
2014-04-01,0.4251
2014-07-01,0.4319
2014-10-01,0.428
2015-01-01,0.4568
2015-04-01,0.4566
2015-07-01,0.4544
2015-10-01,0.4575
2016-01-01,0.4646
2016-04-01,0.4598
2016-07-01,0.213
2016-10-01,0.2125
2017-01-01,0.2095
2017-04-01,0.2121
2017-07-01,0.2123
2017-10-01,0.4619
2018-01-01,0.4637
2018-04-01,0.4507
2018-07-01,0.7012
2018-10-01,0.7026
2019-01-01,0.7053
2019-04-01,0.7085
2019-07-01,0.7098
2019-10-01,0.7101
2020-01-01,0.3192
2020-04-01,0.0646
2020-07-01,0.0547
2020-10-01,0.0492
2021-01-01,0.0486
2021-04-01,0.0498
2021-07-01,0.05
2021-10-01,0.1141
2022-01-01,0.5623
2022-04-01,1.0767
2022-07-01,1.8569
2022-10-01,3.1779
