"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Date","CPI","Flag Codes"
"GBR","CPI","TOT","AGRWTH","Q","2009-Q1",2.9,
"GBR","CPI","TOT","AGRWTH","Q","2009-Q2",2,
"GBR","CPI","TOT","AGRWTH","Q","2009-Q3",1.4,
"GBR","CPI","TOT","AGRWTH","Q","2009-Q4",1.6,
"GBR","CPI","TOT","AGRWTH","Q","2010-Q1",2.4,
"GBR","CPI","TOT","AGRWTH","Q","2010-Q2",2.5,
"GBR","CPI","TOT","AGRWTH","Q","2010-Q3",2.3,
"GBR","CPI","TOT","AGRWTH","Q","2010-Q4",2.7,
"GBR","CPI","TOT","AGRWTH","Q","2011-Q1",3.5,
"GBR","CPI","TOT","AGRWTH","Q","2011-Q2",3.8,
"GBR","CPI","TOT","AGRWTH","Q","2011-Q3",4,
"GBR","CPI","TOT","AGRWTH","Q","2011-Q4",4,
"GBR","CPI","TOT","AGRWTH","Q","2012-Q1",3.1,
"GBR","CPI","TOT","AGRWTH","Q","2012-Q2",2.5,
"GBR","CPI","TOT","AGRWTH","Q","2012-Q3",2.2,
"GBR","CPI","TOT","AGRWTH","Q","2012-Q4",2.4,
"GBR","CPI","TOT","AGRWTH","Q","2013-Q1",2.5,
"GBR","CPI","TOT","AGRWTH","Q","2013-Q2",2.4,
"GBR","CPI","TOT","AGRWTH","Q","2013-Q3",2.4,
"GBR","CPI","TOT","AGRWTH","Q","2013-Q4",1.9,
"GBR","CPI","TOT","AGRWTH","Q","2014-Q1",1.6,
"GBR","CPI","TOT","AGRWTH","Q","2014-Q2",1.6,
"GBR","CPI","TOT","AGRWTH","Q","2014-Q3",1.5,
"GBR","CPI","TOT","AGRWTH","Q","2014-Q4",1.1,
"GBR","CPI","TOT","AGRWTH","Q","2015-Q1",0.4,
"GBR","CPI","TOT","AGRWTH","Q","2015-Q2",0.3,
"GBR","CPI","TOT","AGRWTH","Q","2015-Q3",0.4,
"GBR","CPI","TOT","AGRWTH","Q","2015-Q4",0.4,
"GBR","CPI","TOT","AGRWTH","Q","2016-Q1",0.7,
"GBR","CPI","TOT","AGRWTH","Q","2016-Q2",0.7,
"GBR","CPI","TOT","AGRWTH","Q","2016-Q3",1,
"GBR","CPI","TOT","AGRWTH","Q","2016-Q4",1.5,
"GBR","CPI","TOT","AGRWTH","Q","2017-Q1",2.2,
"GBR","CPI","TOT","AGRWTH","Q","2017-Q2",2.6,
"GBR","CPI","TOT","AGRWTH","Q","2017-Q3",2.7,
"GBR","CPI","TOT","AGRWTH","Q","2017-Q4",2.8,
"GBR","CPI","TOT","AGRWTH","Q","2018-Q1",2.5,
"GBR","CPI","TOT","AGRWTH","Q","2018-Q2",2.2,
"GBR","CPI","TOT","AGRWTH","Q","2018-Q3",2.3,
"GBR","CPI","TOT","AGRWTH","Q","2018-Q4",2.1,
"GBR","CPI","TOT","AGRWTH","Q","2019-Q1",1.8,
"GBR","CPI","TOT","AGRWTH","Q","2019-Q2",2,
"GBR","CPI","TOT","AGRWTH","Q","2019-Q3",1.8,
"GBR","CPI","TOT","AGRWTH","Q","2019-Q4",1.4,
"GBR","CPI","TOT","AGRWTH","Q","2020-Q1",1.7,
"GBR","CPI","TOT","AGRWTH","Q","2020-Q2",0.8,
"GBR","CPI","TOT","AGRWTH","Q","2020-Q3",0.8,
"GBR","CPI","TOT","AGRWTH","Q","2020-Q4",0.8,
"GBR","CPI","TOT","AGRWTH","Q","2021-Q1",0.9,
"GBR","CPI","TOT","AGRWTH","Q","2021-Q2",2.1,
"GBR","CPI","TOT","AGRWTH","Q","2021-Q3",2.7,
"GBR","CPI","TOT","AGRWTH","Q","2021-Q4",4.4,
"GBR","CPI","TOT","AGRWTH","Q","2022-Q1",5.5,
"GBR","CPI","TOT","AGRWTH","Q","2022-Q2",7.9,
"GBR","CPI","TOT","AGRWTH","Q","2022-Q3",8.7,
"GBR","CPI","TOT","AGRWTH","Q","2022-Q4",9.4,
